batch_size,d_model,num_heads,num_layers,clustering_method,clustering_metric,clustering_param,compression_ratio,ml_time,compression_time,Total_MRT_time,Total_OSTC_time,querying_time,total_time,accuracy_individual_results,score
128,64,2,2,AGGLOMERATIVE,euclidean,15,1.3125708947991168,226954930485,57137544307,43133.0,1239.071044921875,1411409742654,1802932747536,"[('Where', 0.9996629961450523), ('Distance', 0.8664101007551434), ('When', 0.999846577778121), ('How Long', 0.9999805565270805), ('Count', 0.9987979504223792), ('KNN', 1.0), ('Window', 0.9997278911564625)]",0.9806322961120342
128,64,2,4,AGGLOMERATIVE,euclidean,5,1.3217591617880162,208154819095,83387925436,72136.0,1291.071044921875,1183709169714,1581054995102,"[('Where', 0.9864609961640038), ('Distance', 0.8665261745726524), ('When', 0.9963052699293572), ('How Long', 0.9999352053685243), ('Count', 0.9216481649118047), ('KNN', 0.9980822805312601), ('Window', 0.9919598315516682)]",0.96584541757561
128,64,2,4,AGGLOMERATIVE,euclidean,7.5,1.3085931276035216,228931788096,53133542172,39468.0,1166.0040283203125,1319547874592,1711986680117,"[('Where', 0.9972962921961783), ('Distance', 0.8651268936435397), ('When', 0.9992881645881956), ('How Long', 0.999987035504679), ('Count', 0.9917873753093672), ('KNN', 0.999987042436022), ('Window', 0.9987495950761257)]",0.9788889141077296
128,64,2,4,AGGLOMERATIVE,euclidean,10,1.3111519328910233,204437871026,36224611763,26307.0,1099.738037109375,1313748244032,1656485776759,"[('Where', 0.999217311851983), ('Distance', 0.865878928978878), ('When', 0.9995517359895811), ('How Long', 0.9999870353090695), ('Count', 0.9980529422492952), ('KNN', 1.0), ('Window', 0.9996825396825397)]",0.9803386420087637
128,64,2,4,AGGLOMERATIVE,euclidean,12.5,1.3142959891195238,231335324810,55405705347,41541.0,1425.18603515625,1312347216236,1706315439547,"[('Where', 0.9981462094580037), ('Distance', 0.8666131613836188), ('When', 0.9993336132558132), ('How Long', 0.9999929333946831), ('Count', 0.9999473812130645), ('KNN', 1.0), ('Window', 0.9990540978296081)]",0.9804410566478273
128,64,2,4,AGGLOMERATIVE,euclidean,15,1.315745136591058,196971019729,55160393893,42888.0,1074.6639404296875,1343079142427,1702934220162,"[('Where', 0.9991837742489591), ('Distance', 0.8613677067883316), ('When', 0.9994853311786294), ('How Long', 0.9999675989631025), ('Count', 0.9998918950152562), ('KNN', 0.999974084872044), ('Window', 0.9999222546161322)]",0.9799703779546365
128,64,4,2,AGGLOMERATIVE,euclidean,5,1.3215030991237968,211930201485,50636642071,39475.0,1315.3489990234375,1175823183667,1543187718117,"[('Where', 0.9841032176488048), ('Distance', 0.8660258916861776), ('When', 0.9954590060889402), ('How Long', 0.9999157692823999), ('Count', 0.8727977130139644), ('KNN', 0.9968253968253968), ('Window', 0.9908195659216067)]",0.9579923657810415
128,64,4,2,AGGLOMERATIVE,euclidean,7.5,1.308008102247081,239736902586,62494644324,50198.0,1231.5660400390625,1319365791124,1722617544886,"[('Where', 0.9956551004147501), ('Distance', 0.8651720507165128), ('When', 0.9990649081861701), ('How Long', 0.9999870353146414), ('Count', 0.9781827225225744), ('KNN', 0.9997019760285066), ('Window', 0.9979138321995465)]",0.9765253750546716
128,64,4,2,AGGLOMERATIVE,euclidean,10,1.3100051635903223,236437826722,48769985482,35748.0,1236.10205078125,1428119841715,1840759576089,"[('Where', 0.9986389388772359), ('Distance', 0.8625886884233566), ('When', 0.9995184242607232), ('How Long', 0.9999870356885763), ('Count', 0.9987361401926675), ('KNN', 0.9996890184645287), ('Window', 0.9994752186588921)]",0.9798047806522828
128,64,4,2,AGGLOMERATIVE,euclidean,12.5,1.3147228382476546,224460303696,54041638364,41555.0,1072.81005859375,1339654215140,1723208064276,"[('Where', 0.9988326391174351), ('Distance', 0.8661694265637201), ('When', 0.9999208907087135), ('How Long', 0.9999805565270805), ('Count', 0.9999665327978581), ('KNN', 1.0), ('Window', 0.9997732426303856)]",0.9806633269064561
